,YEAR WON,SPORT,LEVEL,GENDER,DIVISION,WINNER
300,1967-68,Track and Field,Sr. Varsity,Girls,None,Henry Wise Wood
301,1967-68,Volleyball,Jr. Varsity,Girls,Div I,James Fowler
302,1967-68,Volleyball,Sr. Varsity,Girls,Div I,Crescent Heights
303,1968-69,Basketball,Jr. Varsity,Boys,Div I,James Fowler
304,1968-69,Basketball,Jr. Varsity,Girls,Div I,St. Francis
305,1968-69,Basketball,Sr. Varsity,Boys,Div I,Western Canada
306,1968-69,Basketball,Sr. Varsity,Girls,Div I,William Aberhart
307,1968-69,Diving,Grand Aggregate,Coed,None,Not Awarded
308,1968-69,Football,Jr. Varsity,Boys,Div I,James Fowler
309,1968-69,Football,Sr. Varsity,Boys,Div I,Henry Wise Wood
310,1968-69,Football,Sr. Varsity,Boys,Div II,Crescent Heights
311,1968-69,Soccer,Varsity,Boys,Div I,Not Awarded
312,1968-69,Swimming,Grand Aggregate,Coed,None,Not Awarded
313,1968-69,Track and Field,Jr. Varsity,Boys,None,Western Canada
314,1968-69,Track and Field,Jr. Varsity,Girls,None,Central Memorial
315,1968-69,Track and Field,Sr. Varsity,Boys,None,Western Canada
316,1968-69,Track and Field,Sr. Varsity,Girls,None,Western Canada
317,1968-69,Volleyball,Jr. Varsity,Girls,Div I,Sir Winston Churchill
318,1968-69,Volleyball,Sr. Varsity,Girls,Div I,Crescent Heights
319,1969-70,Badminton,Aggregate,Coed,Div I,Henry Wise Wood
320,1969-70,Basketball,Jr. Varsity,Boys,Div I,James Fowler
321,1969-70,Basketball,Jr. Varsity,Boys,Div II,Viscount Bennett
322,1969-70,Basketball,Jr. Varsity,Girls,Div I,St. Mary’s
323,1969-70,Basketball,Sr. Varsity,Boys,Div I,James Fowler
324,1969-70,Basketball,Sr. Varsity,Boys,Div II,Bishop Grandin
325,1969-70,Basketball,Sr. Varsity,Girls,Div I,Ernest Manning
326,1969-70,Diving,Grand Aggregate,Coed,None,Bishop Grandin
327,1969-70,Football,Jr. Varsity,Boys,Div I,James Fowler
328,1969-70,Football,Sr. Varsity,Boys,Div I,Viscount Bennett
329,1969-70,Football,Sr. Varsity,Boys,Div II,Bishop Grandin
330,1969-70,Soccer,Varsity,Boys,Div I,Not Awarded
331,1969-70,Swimming,Grand Aggregate,Coed,None,Not Awarded
332,1969-70,Track and Field,Jr. Varsity,Boys,None,Central Memorial
333,1969-70,Track and Field,Jr. Varsity,Girls,None,Central Memorial
334,1969-70,Track and Field,Sr. Varsity,Boys,None,Central Memorial
335,1969-70,Track and Field,Sr. Varsity,Girls,None,Central Memorial
336,1969-70,Volleyball,Jr. Varsity,Girls,Div I,Crescent Heights
337,1969-70,Volleyball,Sr. Varsity,Boys,Div I,Crescent Heights
338,1969-70,Volleyball,Sr. Varsity,Girls,Div I,James Fowler
